21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SideBox.MyTools' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Admin' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Members.SearchMembers' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Buttons.Edit' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
21/07/2016 20:52:17 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
21/07/2016 20:52:18 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Stats.FooterMainStatText' for language Portuguese (Brazil).
21/07/2016 20:52:18 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Stats.LatestMembers' for language Portuguese (Brazil).
21/07/2016 20:52:18 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Stats.FooterActiveUsersText' for language Portuguese (Brazil).
21/07/2016 20:52:18 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.PoweredBy' for language Portuguese (Brazil).
21/07/2016 20:52:18 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SlidePanel.CloseConfirmation' for language Portuguese (Brazil).
21/07/2016 20:52:59 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
21/07/2016 20:53:01 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
21/07/2016 20:53:11 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
21/07/2016 20:53:39 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Home.Rss' for language Portuguese (Brazil).
21/07/2016 20:53:39 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Post.MemberIsOnline' for language Portuguese (Brazil).
21/07/2016 20:53:41 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.SearchFor' for language Portuguese (Brazil).
21/07/2016 20:53:41 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search' for language Portuguese (Brazil).
21/07/2016 20:53:41 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Side.Search.Go' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Topic.HotTopics' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Admin' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Members.SearchMembers' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Buttons.Edit' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'PM.PrivateMessages' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'LogOn.LogOff' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Latest' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Following' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.PostedIn' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SubNav.Favourites' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Leaderboard' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Activity' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Layout.Nav.Badges' for language Portuguese (Brazil).
21/07/2016 20:53:43 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'Site.MvcForum' for language Portuguese (Brazil).
21/07/2016 20:53:44 | MVCForum.Services.dll | GetResourceString | MVCForum.Services.LocalizationService | 0 | No value is set for resource key 'SideBox.MyTools' for language Portuguese (Brazil).
